艦船ID,図鑑番号,艦名,読み,艦種,艦型,ソート順,改装前,改装後,改装Lv,改装弾薬,改装鋼材,改装設計図,カタパルト,戦闘詳報,新型航空兵装資材,改装段階,耐久初期,耐久最大,耐久結婚,耐久改修,火力初期,火力最大,雷装初期,雷装最大,対空初期,対空最大,装甲初期,装甲最大,対潜初期最小,対潜初期最大,対潜最大,対潜185最小,対潜185最大,回避初期最小,回避初期最大,回避最大,回避185最小,回避185最大,索敵初期最小,索敵初期最大,索敵最大,索敵185最小,索敵185最大,運初期,運最大,速力,射程,レア,スロット数,搭載機数1,搭載機数2,搭載機数3,搭載機数4,搭載機数5,初期装備1,初期装備2,初期装備3,初期装備4,初期装備5,建造時間,解体燃料,解体弾薬,解体鋼材,解体ボーキ,改修火力,改修雷装,改修対空,改修装甲,ドロップ文章,図鑑文章,搭載燃料,搭載弾薬,ボイス,リソース名,画像バージョン,ボイスバージョン,母港ボイスバージョン
140,140,"酒匂","さかわ",3,41,11041,0,314,35,220,300,0,0,0,0,0,31,45,36,38,19,41,23,71,17,62,17,32,27,27,72,111,111,36,36,72,103,103,12,12,45,73,73,20,49,10,2,5,3,2,2,2,0,0,65,66,-1,-1,-1,60,3,4,13,1,1,1,1,2,"ぴゃん♪　阿賀野型軽巡四番艦、酒匂です！<br>司令、よろしくね！","阿賀野型軽巡姉妹の末っ子、四番艦の酒匂だよ。<br>生まれるのが遅すぎたかな、あまりお外にはいけな<br>かった。矢矧ちゃんと一緒に行きたかったけど…舞鶴<br>でお留守番したの。",30,35,3,"vrtbgpzuepqx",35,9,627
141,141,"五十鈴改二","いすず",3,20,10096,219,0,0,0,0,0,0,0,0,2,44,59,50,52,18,62,24,79,45,85,30,69,54,54,94,128,128,42,42,80,113,113,15,15,59,97,97,13,70,10,1,5,3,0,0,0,0,0,28,30,45,-1,-1,60,2,2,10,0,1,2,4,2,"五十鈴です。水雷戦隊の指揮ならお任せ。<br>全力で提督を勝利に導くわ。よろしくね。","五十鈴は、大正時代に建造された長良型軽巡の２番<br>艦。<br>韋駄天さはもちろんだけど、私の歴代艦長の中から<br>は、あの山本五十六提督、山口多聞提督など後の海軍<br>を支える人物が多数輩出されたの。凄いでしょ？",25,30,1,"nnkmuxqyewyk",21,2,627
142,142,"衣笠改二","きぬがさ",5,13,8046,295,0,0,0,0,0,0,0,0,2,53,65,60,62,38,78,24,78,22,66,35,73,0,0,0,0,0,38,38,79,114,114,13,13,58,97,97,13,65,10,2,6,4,2,2,2,2,0,50,15,-1,-1,-1,60,3,7,16,1,2,1,1,2,"はーいっ！衣笠さんの登場よ！<br>青葉ともども、よろしくね！","カタパルトをお初装備の衣笠さんよ、よろしくね。<br>ウェーク島攻略や珊瑚海海戦、そして、ソロモン海の<br>アイアンボトムサウンドでも大活躍！でも…飛行機っ<br>ての？あれはちょっと嫌ね。",35,65,3,"ykrokmtrnaqw",60,6,627
143,143,"武蔵","むさし",9,37,1121,0,148,40,2500,3000,0,0,0,0,0,94,98,98,98,96,129,0,0,50,94,88,108,0,0,0,0,0,27,27,59,86,86,16,16,40,60,60,10,79,5,4,7,4,7,7,7,7,0,9,12,59,-1,-1,480,35,50,100,10,7,0,2,5,"フッ、随分待たせたようだな……。<br>大和型戦艦二番艦、武蔵。参る！","大和型戦艦二番艦、武蔵だ。<br>長崎生まれだ。よろしく頼むぞ。<br>姉妹艦の大和や信濃と同じく、極秘裏に建造されたの<br>さ。ああ、この主砲を存分に撃ち合いたかったな。今<br>度は頼めるか…ありがたい！",250,300,3,"ilxnmfogntbo",53,16,627
144,144,"夕立改二","ゆうだち",2,23,15106,245,0,0,0,0,0,0,0,0,2,31,58,36,38,17,73,37,94,16,59,14,52,28,28,69,104,104,46,46,89,126,126,12,12,49,81,81,20,61,10,1,6,3,0,0,0,0,0,63,15,-1,-1,-1,22,1,2,10,0,2,2,1,1,"こんにちは、白露型駆逐艦「夕立」よ。<br>よろしくね！","白露型駆逐艦の４番艦、夕立です。<br>第三次ソロモン海戦では、けっこう頑張ったっぽい？<br>でも、何気に「アイアンボトム・サウンド」って、ホ<br>ントに怖い言葉よね？",15,20,3,"lngqiqvigduj",88,84,627
145,145,"時雨改二","しぐれ",2,23,15086,243,961,97,470,390,2,0,2,0,2,31,49,36,38,13,62,28,89,24,72,14,52,31,31,80,122,122,62,62,94,121,121,20,20,48,72,72,50,88,10,1,6,3,0,0,0,0,0,28,27,-1,-1,-1,22,1,2,10,0,2,2,1,1,"僕は白露型駆逐艦、「時雨」。<br>これからよろしくね。","僕は白露型駆逐艦２番艦の時雨だよ。<br>あのレイテ沖海戦では、西村艦隊に所属して、運命の<br>スリガオ海峡に突入したんだ。<br>扶桑も山城も凄かったよ……。<br>皆が忘れても、僕だけはずっと覚えているから……。",15,20,3,"ogkwigciybxf",101,101,627
146,146,"木曾改二","きそ",4,4,10076,217,0,0,0,0,0,0,0,0,2,44,59,50,52,18,65,80,111,24,72,24,65,32,32,82,125,125,45,45,85,119,119,13,13,49,80,80,13,69,10,2,6,3,0,0,0,0,0,58,27,40,-1,-1,75,2,6,9,0,1,5,0,1,"木曾だ、お前に最高の勝利を与えてやる。","5500トン型の軽巡洋艦、球磨型の木曾だ。よろしく<br>な。<br>やれ、滑走台だ、カタパルトだ、そんなもんはいらね<br>えな。<br>戦いは敵の懐に飛び込んでやるもんよ。なあ？",25,50,1,"gpfqngdreebe",19,13,627
147,147,"Верный","ひびき",2,5,14226,235,0,0,0,0,0,0,0,0,2,37,49,42,44,13,58,30,89,18,65,15,58,30,30,77,117,117,47,47,89,125,125,10,10,44,73,73,20,80,10,1,6,3,0,0,0,0,0,-1,-1,-1,-1,-1,20,1,3,11,0,1,2,1,1,"ヴェールヌイだ。<br>その活躍ぶりから不死鳥の通り名もあるよ。","数ある特型駆逐艦の中で、最後まで生き残ったのが、<br>響。転戦の後、あの大和水上特攻時には修理で同行で<br>きなかったんだ。<br>賠償艦としてソ連に引き渡され「信頼できる」という<br>意味の艦名になったんだ。",15,25,3,"gmqsmiszmftf",21,5,627
148,148,"武蔵改","むさし",9,37,1122,143,546,89,9900,9600,3,0,1,0,1,97,108,106,108,92,139,0,0,60,99,92,119,0,0,0,0,0,27,27,63,94,94,18,18,40,59,59,9,79,5,4,7,4,7,7,7,7,0,9,40,28,-1,-1,480,35,50,110,20,6,0,3,6,"大和型二番艦、武蔵、推参する。<br>どうだ…この色、装束も似合うだろう？","大和型戦艦二番艦、武蔵だ。<br>長崎生まれだ。よろしく頼むぞ。<br>姉妹艦の大和や信濃と同じく、極秘裏に建造されたの<br>さ。ああ、この主砲を存分に撃ち合いたかったな。今<br>度は頼めるか…ありがたい！",250,325,7,"eqgvmdsvjerq",53,16,627
149,149,"金剛改二","こんごう",8,6,1016,209,591,92,8800,7900,2,0,1,0,2,82,99,90,92,76,98,0,0,30,87,70,94,0,0,0,0,0,37,37,73,104,104,16,16,49,77,77,15,89,10,3,7,4,3,3,3,3,0,8,30,28,-1,-1,240,10,14,33,3,4,0,2,4,"英国で生まれた帰国子女の金剛デース。<br>ヨロシクオネガイシマース！","超弩級戦艦として建造技術導入を兼ねて英国ヴィッカ<br>ース社で建造された、金剛デース！<br>太平洋戦域でも持前の高速力を活かして、大活躍デー<br>ス！<br>期待してネ！",100,125,3,"wugwvdccggcp",23,37,627
150,150,"比叡改二","ひえい",8,6,1026,210,592,90,8800,7800,2,0,1,0,2,83,99,91,93,76,99,0,0,30,82,72,95,0,0,0,0,0,36,36,72,103,103,16,16,52,83,83,13,82,10,3,7,4,3,3,3,3,0,8,30,35,-1,-1,240,10,14,33,3,4,0,2,4,"金剛お姉さまの妹分、比叡です。<br>経験を積んで、姉さまに少しでも近づきたいです。","井上提督も愛した巡洋戦艦、比叡です。<br>ぴかぴかに肌を磨いて、御召艦としても活躍したの。<br>大和型のテスト艦にもなったのよ、知ってた？<br>え？ソロモン海戦？そうよ、奮闘したわ！",100,125,3,"mhpalcnpxmgz",62,33,627
151,151,"榛名改二","はるな",8,6,1036,211,593,88,8300,7700,2,0,1,0,2,81,99,89,91,75,96,0,0,41,93,70,93,0,0,0,0,0,39,39,76,108,108,17,17,51,80,80,41,93,10,3,7,4,3,3,3,3,0,104,104,35,27,-1,240,10,14,33,3,4,0,2,4,"高速戦艦、榛名、着任しました。<br>あなたが提督なのね？　よろしくお願い致します。","高速の巡洋戦艦、榛名です。<br>国産の四一式36センチ砲を装備しました。<br>呉鎮守府の江田島で最後まで空を睨んで奮戦したわ。<br>高速戦艦四姉妹で最期まで、戦い抜いた榛名のこと、<br>覚えていてね。",100,125,3,"ilxltdgucgbg",63,35,627
152,152,"霧島改二","きりしま",8,6,1046,212,694,89,8900,7800,2,0,1,0,2,82,99,90,92,78,104,0,0,30,82,70,92,0,0,0,0,0,34,34,72,105,105,15,15,49,78,78,14,84,10,3,7,4,3,3,3,3,0,8,74,30,-1,-1,240,10,14,33,3,4,0,2,4,"マイク音量大丈夫…？チェック、1，2……。<br>よし。はじめまして、私、霧島です。","霧島です。姉妹艦の榛名には、頭脳は負けないわよ？<br>純国産高速戦艦として、奮戦するんだからっ！<br>現代の海自イージス艦にもその名は受け継がれたの。",100,125,3,"kspwuqsyhipy",14,34,627
153,153,"大鳳","たいほう",18,43,3041,0,156,40,450,900,0,0,0,0,0,67,87,74,76,0,49,0,0,42,79,40,79,0,0,0,0,0,33,33,57,77,77,47,47,74,97,97,2,19,10,1,7,4,18,18,18,7,0,60,24,17,-1,-1,400,8,15,36,12,0,0,5,5,"そう…私が大鳳。<br>出迎え、ありがとうございます。<br>提督…貴方と機動部隊に勝利を！","航空母艦「大鳳」です。<br>飛行甲板まで十分な防御を施された最新鋭の正規空母<br>です。密閉型の格納庫も素敵でしょ？　え？　ガスが<br>溜りやすい…ですって…失礼しちゃう。こ、今度は絶<br>対に大丈夫！",70,65,3,"ysidnchjxvfc",1,1,627
154,154,"香取","かとり",21,56,12011,0,343,35,120,400,0,0,0,0,0,36,48,41,43,14,28,12,28,14,42,9,27,12,12,42,68,68,24,24,49,70,70,10,10,38,62,62,10,49,5,2,4,3,1,1,1,0,0,119,10,39,-1,-1,70,3,1,10,0,0,1,0,1,"練習巡洋艦、香取です。<br>心配しないで…。色々と優しく、指導させて頂きますから。","香取型練習巡洋艦一番艦の香取です。<br>はい、練習遠洋航海の指揮は、お任せください。必ず<br>や艦隊の練度向上にお力添えできると思います。え、<br>戦艦との砲撃戦…ですか？それは用兵的にどうなので<br>しょうか。",30,15,1,"jtyqmhgstese",31,12,627
155,155,"伊401","い401",14,44,22121,0,403,35,100,300,0,0,0,0,0,20,24,24,24,2,9,36,72,0,0,5,24,0,0,0,0,0,13,13,35,54,54,15,15,45,71,71,20,59,5,1,6,1,3,0,0,0,0,-1,-1,-1,-1,-1,200,1,2,3,2,0,1,1,1,"提督、ごきげんよう。潜特型二番艦伊401です。<br>しおいって呼んでね。","伊４００型潜水艦二番艦、伊４０１です。<br>地球をぐるっと一周以上余裕で航行できる長大な航続<br>力と、特殊攻撃機「晴嵐」を３機搭載する潜水空母な<br>んです。そう、戦略的秘密兵器…秘密なんだからっ！",20,15,3,"hmiwrqvijwvv",38,3,627
156,156,"大鳳改","たいほう",18,43,3042,153,0,0,0,0,0,0,0,0,1,70,90,78,80,0,59,0,0,45,86,44,84,0,0,0,0,0,34,34,59,80,80,50,50,77,100,100,4,39,10,1,7,4,30,24,24,8,0,22,18,71,-1,-1,400,9,16,36,14,0,0,5,5,"おはようございます、改装済み大鳳です。<br>甲板装甲を強化、防御力もさらに向上、提督のために…露天駐機で艦載機数も充実です！","航空母艦「大鳳」です。<br>飛行甲板まで十分な防御を施された最新鋭の正規空母<br>です。密閉型の格納庫やハリケーン・バウもいい感じ<br>でしょ？　装甲甲板もお化粧直ししてみたわ。どう？<br>似合う？",90,75,3,"vsnkqdgtcjbs",2,2,627
157,157,"龍驤改二","りゅうじょう",7,32,4026,281,0,0,0,0,0,0,0,0,2,50,72,57,59,0,40,0,0,24,48,28,62,0,0,0,0,0,36,36,69,97,97,37,37,79,115,115,15,59,10,1,6,4,18,28,6,3,0,60,39,61,-1,-1,170,4,12,22,6,0,0,3,3,"軽空母、龍驤や。独特なシルエットでしょ？<br>でも、艦載機を次々繰り出す、ちゃーんとした空母なんや。期待してや！","軽空母だけど、結構歴戦の空母なんよ、うち。<br>ああ、あの岩手沖での第四艦隊事件のこと？あれはき<br>つかったー。<br>波浪で艦橋圧壊…いや、ホントありえへん。",40,45,1,"mslkutojcolj",35,15,627
158,158,"川内改二","せんだい",3,16,10146,222,0,0,0,0,0,0,0,0,2,49,64,55,57,24,69,26,89,20,71,29,69,38,38,74,105,105,43,43,84,119,119,16,16,55,88,88,14,80,10,2,6,3,1,1,1,0,0,101,74,102,-1,-1,60,2,2,10,0,1,1,1,2,"川内、参上。<br>夜戦なら任せておいて！","5500トン級の軽巡洋艦の最終タイプ、それが私、川<br>内型よ。<br>熟成された軽巡の魅力、たっぷり教えてあげるから。<br>もちろん、夜戦でね！",25,35,3,"qpnrcirsvqcr",38,9,627
159,159,"神通改二","じんつう",3,16,10156,223,0,0,0,0,0,0,0,0,2,51,63,58,60,27,74,38,99,18,68,29,69,40,40,80,114,114,41,41,80,113,113,12,12,54,90,90,13,81,10,2,6,3,1,1,1,0,0,74,15,15,-1,-1,60,2,2,10,0,1,1,1,2,"あの……軽巡洋艦、神通です。<br>どうか、よろしくお願い致します……","神通です。近代化改装を受け、<br>第２水雷戦隊の旗艦を務めました。<br>コロンバンガラ島沖海戦では先頭に立って奮戦しま<br>す。<br>でも、みんな私の事狙うんですもの…ひどいわ……。",25,35,3,"xyqotgpmnjih",31,13,627
160,160,"那珂改二","なか",3,16,10166,224,0,0,0,0,0,0,0,0,2,48,62,54,56,22,69,28,84,24,76,29,68,48,48,86,119,119,42,42,82,116,116,15,15,54,87,87,13,84,10,2,6,3,1,1,1,0,0,10,15,30,-1,-1,60,2,2,10,0,1,1,1,2,"艦隊のアイドル、那珂（なか）ちゃんだよー！<br>よっろしくぅ！","第４水雷戦隊のセンターも務めた那珂だよ！<br>お仕事沢山入ってて、輸送船の護衛任務や、トラック<br>島から南方への輸送任務とか…<br>…え、地方巡業じゃんって？ そんなことないしっ！",25,35,3,"lvjcqqulbluo",30,12,627
161,161,"あきつ丸","あきつまる",17,45,25031,0,166,25,80,200,0,0,0,0,0,38,49,43,45,6,19,0,0,13,29,13,33,0,0,0,0,0,15,15,39,59,59,3,3,13,21,21,10,39,5,1,5,2,0,0,0,0,0,68,39,-1,-1,-1,150,2,2,12,2,0,0,1,1,"自分、あきつ丸であります。<br>艦隊にお世話になります。","自分は、陸軍の特種船…その丙型の「あきつ丸」であ<br>ります。<br>輸送や上陸戦ならお任せ頂きたいのであります。<br>自慢はこの大発であります。ネズミやモグラな輸送と<br>は訳が違うのであります。",40,10,3,"nvnwjedsdgcl",19,1,627
162,162,"神威","かもい",22,72,6021,0,499,35,30,230,0,0,0,0,0,36,48,41,43,3,18,0,0,8,24,6,18,0,0,0,0,0,13,13,27,39,39,5,5,15,23,23,17,67,5,2,4,3,0,0,0,0,0,-1,-1,-1,-1,-1,140,3,0,10,1,0,0,0,1,"給油艦、神威と申します。<br>はい、北海道神威岬由来の名前を頂いています。<br>できる限り、頑張りますね。","給油艦として建造された「神威」です。<br>米国で生まれ、その後水上機母艦に改装されました。<br>水上機収容用ハイン式マットは思ったより便利ではな<br>かったけれど……。最終的に飛行艇母艦となり、輸送<br>作戦に従事しました。戦いの前は、米艦と共に女性飛<br>行家の捜索も頑張りました。",30,10,1,"jqvoyyolpqgv",52,3,627
163,163,"まるゆ","まるゆ",13,46,25011,0,402,20,20,50,0,0,0,0,0,6,9,9,9,1,3,0,9,0,0,2,9,0,0,0,0,0,9,9,19,27,27,1,1,9,15,15,7,77,5,1,5,0,0,0,0,0,0,-1,-1,-1,-1,-1,17,1,0,1,0,0,0,0,1,"初めまして…まるゆ着任しました。<br>え？聞いてないって…そんなあ！","まるゆは海軍工廠出身じゃないので、同郷のお友達が<br>いないんです。皆さんとちょっと違うっていうか…木<br>曾さんには第一声で「何だお前、潜れるのか？」なん<br>て言われちゃうし…まるゆ、ここで上手くやっていけ<br>るのかなあ…。",10,5,3,"joaeulumcgbh",20,1,627
164,164,"弥生","やよい",2,28,13271,0,308,20,100,100,0,0,0,0,0,13,24,17,19,6,29,18,49,7,29,5,18,16,16,39,58,58,37,37,69,96,96,4,4,17,28,28,10,49,10,1,4,2,0,0,0,0,0,1,-1,-1,-1,-1,18,1,1,4,0,1,1,0,0,"初めまして、弥生、着任…。<br>あ、気を使わないでくれていい…です。","睦月型駆逐艦三番艦「弥生」です。<br>横須賀の浦賀生まれ。「睦月」や「望月」と艦隊を組<br>んで色々頑張りました。爆撃機とかは嫌い。よろしく<br>ね。",15,15,1,"jnvcrrgmtvwl",49,14,627
165,165,"卯月","うづき",2,28,13281,0,309,25,100,100,0,0,0,0,0,13,24,17,19,6,29,18,49,7,29,5,18,16,16,39,58,58,37,37,69,96,96,4,4,17,28,28,10,49,10,1,4,2,0,0,0,0,0,1,-1,-1,-1,-1,18,1,1,4,0,0,1,0,0,"やったぁ！ でたっぴょん！ 卯月でっす！ <br>うーちゃんって呼ばれてまっす！","睦月型駆逐艦四番艦の「卯月」だぴょん。船団護衛か<br>ら攻略作戦まで、頑張って働いたんでっす！　最後の<br>ほうは砲をいくつか下して機銃を一杯積んだよ。<br>うーちゃん、爆撃じゃ沈まないから！",15,15,1,"gjtvekieqatn",56,14,627
166,166,"あきつ丸改","あきつまる",17,45,25032,161,0,0,0,0,0,0,0,0,1,40,59,46,48,8,33,0,0,15,37,15,43,0,0,0,0,0,17,17,49,76,76,13,13,59,98,98,13,49,5,1,6,3,8,8,8,0,0,70,69,-1,-1,-1,150,2,2,13,5,1,0,1,1,"自分、航空兵力を充実させてみたのであります。<br>これはもう空母…であります…。","自分は、陸軍の特種船丙型の「あきつ丸」でありま<br>す。<br>強襲揚陸艦の先駆けのような自分でありますが、新兵<br>器のオートジャイロなども運用して、対潜戦でも奮闘<br>したいのであります。何卒お願いするのであります。",45,25,3,"vxryfhvytcig",19,3,627
167,167,"磯風","いそかぜ",2,30,16121,0,320,45,160,140,0,0,0,0,0,16,34,20,22,10,29,24,69,14,44,6,19,24,24,49,70,70,44,44,79,109,109,8,8,19,28,28,16,54,10,1,5,2,0,0,0,0,0,2,40,-1,-1,-1,24,1,1,6,0,0,1,0,1,"陽炎型駆逐艦十二番艦、磯風。<br>大丈夫、私が護ってあげる。","陽炎型駆逐艦十二番艦、磯風だ。<br>戦歴ならあの雪風にも遅れはとらぬ。数々の海戦、決<br>戦に参加し、戦い抜いたんだ。大和・武蔵・金剛・大<br>鳳…彼女達の最期もこの目に焼き付いている。今度こ<br>そ…護り抜くさ。",15,20,1,"bctrxdxrugqp",63,5,627
168,168,"浦風","うらかぜ",2,30,16111,0,317,35,140,110,0,0,0,0,0,16,34,20,22,10,29,24,69,10,40,6,19,24,24,49,70,70,44,44,79,109,109,7,7,19,29,29,13,49,10,1,4,2,0,0,0,0,0,2,44,-1,-1,-1,24,1,1,6,0,0,1,0,1,"うち、浦風じゃ、よろしくね！","生まれは大阪、所属は呉。真珠湾からガダルカナルま<br>で駆けまわったんじゃ。<br>最期は金剛姉さんを護衛して台湾海峡…<br>まぁ、もうどうにもならんなぁ……。",15,20,0,"cmupwurocdpn",66,29,627
169,169,"谷風","たにかぜ",2,30,16141,0,313,30,100,100,0,0,0,0,0,16,34,20,22,10,29,24,69,10,40,6,19,24,24,49,70,70,44,44,79,109,109,7,7,19,29,29,14,49,10,1,4,2,0,0,0,0,0,2,44,-1,-1,-1,24,1,1,6,0,0,1,0,1,"提督、谷風だよ。<br>これからお世話になるね！","谷風さんだよ。<br>あのミッドウェー海戦では、飛龍を助けようとしてた<br>ら、くそ敵機から雨あられの集中爆撃…。あんと<br>きゃ、まいったけど、勝見艦長がすげえんだ、マジ<br>で。",15,20,0,"gsrzkautnghc",65,17,627
170,170,"浜風","はまかぜ",2,30,16131,0,312,30,100,100,0,0,0,0,0,16,34,20,22,10,29,24,69,13,42,6,19,24,24,49,70,70,44,44,79,109,109,7,7,19,29,29,15,49,10,1,4,2,0,0,0,0,0,2,44,-1,-1,-1,24,1,1,6,0,0,1,0,1,"駆逐艦、浜風です。<br>これより貴艦隊所属となります。","浜風です。数々の激戦に参加しました。<br>レイテでは金剛を中心とした輪形陣。そして、武蔵や<br>金剛、あの信濃の最期もこの目に焼き付けることにな<br>りました。運命の坊ノ岬では、雪風らと共に大和を<br>護って奮闘します。",15,20,0,"rubtymuqfeuq",82,29,627
171,171,"Bismarck","ビスマルク",8,47,30011,0,172,30,800,600,0,0,0,0,0,90,96,96,96,64,88,0,0,18,48,67,83,0,0,0,0,0,33,33,63,89,89,16,16,42,64,64,8,69,10,3,7,4,4,4,4,4,0,76,77,-1,-1,-1,300,10,16,38,4,3,0,1,3,"Guten Tag.<br>私はビスマルク型戦艦のネームシップ、ビスマルク。<br>よおく覚えておくのよ。","ドイツの誇るビスマルク級超弩級戦艦のネームシッ<br>プ、それが私よ。<br>ドイツらしい重厚かつ美しいデザインでしょう？いい<br>のよ、もっと褒めても。<br>この海でも縦横無尽に活躍するわ。期待しなさい！",90,110,1,"ntmjjittqkcj",9,9,627
172,172,"Bismarck改","ビスマルク",8,47,30012,171,173,50,1600,1200,1,0,0,0,1,94,99,99,99,70,93,0,0,24,58,77,93,0,0,0,0,0,38,38,69,95,95,18,18,52,81,81,10,79,10,3,7,4,4,4,4,4,0,76,77,-1,-1,-1,300,12,18,40,4,4,0,1,4,"Guten Tag.<br>私はビスマルク型戦艦のネームシップ、ビスマルク。<br>よおく覚えておくのよ。","ドイツの誇るビスマルク級超弩級戦艦のネームシッ<br>プ、それが私よ。<br>ドイツらしい重厚かつ美しいデザインでしょう？いい<br>のよ、もっと褒めても。<br>この海でも縦横無尽に活躍するわ。期待しなさい！",95,115,3,"frkfpymtydmg",12,11,627
173,173,"Bismarck zwei","ビスマルク",8,47,30016,172,178,75,2400,1800,1,0,0,0,2,96,99,99,99,70,97,0,0,25,62,80,94,0,0,0,0,0,39,39,72,100,100,19,19,54,84,84,20,82,10,3,7,4,4,4,4,4,0,76,85,84,-1,-1,300,12,18,40,4,4,0,2,4,"Guten Tag.<br>私はビスマルク型戦艦のネームシップ、ビスマルク。<br>よおく覚えておくのよ。","ドイツの誇るビスマルク級超弩級戦艦のネームシッ<br>プ、それが私よ。<br>ドイツらしい重厚かつ美しいデザインでしょう？いい<br>のよ、もっと褒めても。<br>この海でも縦横無尽に活躍するわ。期待しなさい！",105,135,3,"etxdlqnvwqtx",11,10,627
174,174,"Z1","レーベレヒト・マース",2,48,30511,0,310,30,150,170,0,0,0,0,0,18,29,22,24,8,26,24,60,12,42,8,22,32,32,64,91,91,36,36,76,110,110,6,6,24,39,39,6,39,10,1,5,3,0,0,0,0,0,78,-1,-1,-1,-1,24,1,1,6,0,1,1,0,0,"Guten Morgen.<br>僕の名前はレーベレヒト・マース。<br>レーベでいいよ…うん。","ドイツ生まれの駆逐艦、その本格的な大型駆逐艦の一<br>番艦だよ。<br>高温高圧缶や機関部のシフト配置など、技術の国なら<br>ではの設計になっているんだ。あまり外洋での艦隊戦<br>は得意じゃないけど…頑張るよ！",20,20,1,"pvhdtbuddjhb",37,4,627
175,175,"Z3","マックス・シュルツ",2,48,30521,0,311,30,150,170,0,0,0,0,0,18,29,22,24,8,26,24,60,12,42,8,22,32,32,64,91,91,36,36,76,110,110,6,6,24,39,39,6,39,10,1,5,3,0,0,0,0,0,78,-1,-1,-1,-1,24,1,1,6,0,1,1,0,0,"Guten Tag.<br>私は駆逐艦マックス・シュルツよ。<br>マックス…でもいいけれど。よろしく。","ドイツ1934年計画型駆逐艦、その三番艦よ。<br>生存性の高い設計の本格的駆逐艦だけれど…新型のタ<br>ービンは少し整備に難もあるけれど。<br>今度は…大丈夫。",20,20,1,"rxzrrkjqvyqy",21,2,627
176,176,"Prinz Eugen","プリンツ・オイゲン",5,55,30311,0,177,45,600,700,0,0,0,0,0,50,72,57,59,38,56,32,64,16,44,38,64,0,0,0,0,0,34,34,68,97,97,15,15,40,61,61,30,79,10,2,6,3,3,3,3,0,0,123,115,-1,-1,-1,200,2,3,15,2,2,1,0,2,"Guten Morgen！<br>私は、重巡プリンツ・オイゲン。よろしくね！","わ！びっくりした！私、ドイツ生まれの重巡、プリン<br>ツ・オイゲン。アドミラル・ヒッパー級3番艦です。<br>ビスマルク姉さまとライン演習作戦に参加しました。<br>幸運艦…そう？　この海でも戦い抜きます！",50,70,1,"shcsmfegtxhf",14,14,627
177,177,"Prinz Eugen改","プリンツ・オイゲン",5,55,30312,176,0,0,0,0,0,0,0,0,1,63,79,70,72,48,75,40,84,18,60,48,82,0,0,0,0,0,40,40,74,103,103,16,16,50,79,79,40,89,10,2,7,4,3,3,3,3,0,123,84,124,-1,-1,200,4,8,22,3,3,2,1,3,"Guten Morgen！<br>私は、重巡プリンツ・オイゲン。よろしくね！","わ！びっくりした！私、ドイツ生まれの重巡、プリン<br>ツ・オイゲン。アドミラル・ヒッパー級3番艦です。<br>ビスマルク姉さまとライン演習作戦に参加しました。<br>幸運艦…そう？　この海でも戦い抜きます！",55,75,3,"cmmiahpwdamx",16,15,627
178,178,"Bismarck drei","ビスマルク",8,47,30019,173,0,0,0,0,0,0,0,0,3,96,99,99,99,74,99,16,36,35,70,82,95,0,0,0,0,0,40,40,74,103,103,22,22,59,91,91,22,84,10,3,7,4,4,4,4,4,0,114,114,85,115,-1,300,12,20,42,4,4,1,2,4,"Guten Tag.<br>私はビスマルク型戦艦のネームシップ、ビスマルク。<br>よおく覚えておくのよ。","ドイツの誇るビスマルク級超弩級戦艦のネームシッ<br>プ、それが私よ。<br>ドイツらしい重厚かつ美しいデザインでしょう？いい<br>のよ、もっと褒めても。<br>この海でも縦横無尽に活躍するわ。期待しなさい！",110,155,3,"twvnkvqgyiru",10,9,627
179,179,"Z1 zwei","レーベレヒト・マース",2,48,30516,310,0,0,0,0,0,0,0,0,2,35,59,40,42,12,49,27,71,20,64,18,53,37,37,69,96,96,43,43,84,119,119,9,9,43,72,72,15,49,10,1,7,3,0,0,0,0,0,84,78,-1,-1,-1,24,1,1,6,0,1,1,0,0,"Guten Morgen.<br>僕の名前はレーベレヒト・マース。<br>レーベでいいよ…うん。","ドイツ生まれの駆逐艦、その本格的な大型駆逐艦の一<br>番艦だよ。<br>高温高圧缶や機関部のシフト配置など、技術の国なら<br>ではの設計になっているんだ。あまり外洋での艦隊戦<br>は得意じゃないけど…頑張るよ！",20,25,3,"qgkjswznylty",37,3,627
180,180,"Z3 zwei","マックス・シュルツ",2,48,30526,311,0,0,0,0,0,0,0,0,2,35,59,40,42,10,47,27,71,24,68,18,53,37,37,69,96,96,43,43,84,119,119,9,9,43,72,72,15,49,10,1,7,3,0,0,0,0,0,85,78,-1,-1,-1,24,1,1,6,0,1,1,0,0,"Guten Tag.<br>私は駆逐艦マックス・シュルツよ。<br>マックス…でもいいけれど。よろしく。","ドイツ1934年計画型駆逐艦、その三番艦よ。<br>生存性の高い設計の本格的駆逐艦だけれど…新型のタ<br>ービンは少し整備に難もあるけれど。<br>今度は…大丈夫。",20,25,3,"utmejyqmcvbk",21,1,627
